LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK
"Llangothlin Coach Stop",23651,-30.128813,151.684701,10150099,,"New England Hwy opp Llangothlin Rd, Llangothlin NSW 2365",,,Coach,,
"Lochinvar Station",232110,-32.72072004,151.4490865,10101187,"02 6543 1018","Station Lane, Lochinvar NSW 2321","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Level crossing | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the middle doors",Train,"No peak",4-6.30pm
"Lockhart Coach Stop",26561,-35.220835,146.716392,10150107,,"Matthews St at Green St, Lockhart NSW 2656",,,Coach,,
"Loftus Station",223220,-34.04513834,151.05132,10101352,"02 9522 1213","Loftus Ave, Loftus NSW 2232","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Long Flat Coach Stop",244651,-31.436226,152.492721,10150104,,"Long Flat General Store, Oxley Hwy, Long Flat NSW 2446",,,Coach,,
"Lucknow Coach Stop",28003,-33.347345,149.163449,10150301,,"Lucknow Village Centre, Mitchell Hwy, Lucknow NSW 2800",,,Coach,,
"Lue Coach Stop",28503,-32.6563,149.846119,10150072,,"Lue Rd opp Martin Rd, Lue NSW 2850",,,Coach,,
"Lyndhurst Coach Stop",27971,-33.673314,149.047645,10150355,,"Main St opp Royal Hotel, Lynshurst NSW 2797",,,Coach,,
"Lysaghts Station",250510,-34.45484317,150.8760944,10101374,"02 4223 5685","Springhill Rd, Spring Hill NSW 2500","Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars",Train,6-8am,4-6.30pm
"Macarthur Station",256030,-34.07207332,150.7967371,10101297,"02 4629 0800","Menangle Rd, Campbelltown NSW 2560","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Macdonaldtown Station",201520,-33.89666002,151.1862916,10101215,"02 9379 1321","Burren St, Macdonaldtown NSW 2015","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Wheelchair accessible payphone","Stairs | This location is not wheelchair accessible | PA system for announcements",Train,7-9am,4-6.30pm
"Macksville Station",24471,-30.709283,152.913135,10155053,"13 22 32","Station St, Macksville NSW 2447","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach, Taxi",,
"Macksville Town Coach Stop (northbound)",244722,-30.706781,152.920881,10156169,,"Macksville Post Office, Cooper St, Macksville NSW 2447",,,"Regional coach, Bus",,
"Macksville Town Coach Stop (southbound)",244721,-30.709131,152.920485,10155173,,"Macksville Aquatic Centre, Cooper St, Macksville NSW 2447",,,"Regional coach, Bus",,
"Maclean Coach Stop",24632,-29.454593,153.197082,10150276,,"River St after John St, Maclean NSW 2463",,,Coach,,
"Macquarie Fields Station",256410,-33.98480719,150.8788965,10101292,"02 9765 1163","Railway Pde, Macquarie Fields NSW 2564","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Macquarie Park Station",211340,-33.78501276,151.1286414,10101427,"02 8878 4326","Cnr Lane Cove Rd & Waterloo Rd, Macquarie Park NSW 2113","Bike lockers | Kiss and ride stopping area",,"Train, Bus",7-9am,4-6.30pm
"Macquarie University Station",211310,-33.77741329,151.1181871,10101426,"02 8878 4110","Cnr Waterloo Rd & Herring Rd, Macquarie Park NSW 2113","Bike lockers | Kiss and ride stopping area | Taxi rank",,"Train, Bus, Taxi",7-9am,4-6.30pm
"Maitland Station",232020,-32.73803543,151.5520999,10101178,"02 4962 9444","Church St, Maitland NSW 2320","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",6-7am,4-6.30pm
"Mandurama Coach Stop",27921,-33.648559,149.075348,10150050,,"Olive St after Gold St, Mandurama NSW 2792",,,Coach,,
"Manildra Coach Stop",28651,-33.186049,148.69459,10150058,,"Manildra Soldiers Memorial Hall, Kiewa St, Manildra NSW 2865",,,Coach,,
"Manilla Coach Stop (northbound)",23461,-30.74953,150.720855,10150348,,"Rotary Park, Manilla St, Manilla NSW 2346",,,Coach,,
"Manilla Coach Stop (southbound)",23462,-30.749694,150.720829,10150347,,"Rotary Park, Court St, Manilla NSW 2346",,,Coach,,
"Manly Vale B-Line",209325,-33.787011,151.266626,10115157,,"Condamine St, Manly Vale NSW 2093","Bike racks | Bike shed | Commuter car park | Wheelchair accessible car space | Departure indicator screen","This location is wheelchair accessible | Tactile surfaces",Bus,,
"Manly Wharf",20951,-33.80048291,151.2838762,10102027,,"East Esplanade, Manly NSW 2095","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Stairs | PA system for announcements","Bus, Ferry, Taxi",,
"Marayong Station",214820,-33.74645111,150.9001991,10101236,"02 9851 7241","Railway Pde, Marayong NSW 2148","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements",Train,7-9am,4-6.30pm
"Marion Light Rail",2040109,-33.88384696,151.1450903,10101456,,"Marion St, Leichhardt NSW 2040","Bike racks | Emergency help point | Kiss and ride stopping area","This location is wheelchair accessible | Hearing loop | Level crossing | Lift | Stairs | Tactile surfaces | PA system for announcements","Light rail",,
"Marrickville Station",220410,-33.91409037,151.1540328,10101392,"02 9563 7586","Illawarra Rd, Marrickville NSW 2204","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Martin Place Station",200030,-33.86787091,151.2115912,10101106,"02 9379 4858","Macquarie St, Sydney NSW 2000","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table","This location is wheelchair accessible | Escalator | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Martins Creek Station",242050,-32.55868695,151.618509,10101182,"02 4932 8409","Martins Creek Rd, Martins Creek NSW 2420","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the middle doors",Train,"No peak",4-6.30pm
"Marulan Station",257940,-34.70950062,150.0064192,10101314,"02 4868 1115","George St, Marulan NSW 2579","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars",Train,6-7.30am,4-6.30pm
"Mascot Station",202010,-33.92318797,151.1872531,10101330,"02 8337 8440","Cnr Bourke Rd & Church Ave, Mascot NSW 2020","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi",7-9am,4-6.30pm
"Mathoura Coach Stop",27102,-35.812936,144.90272,10150039,,"Moama St at Lawrence St, Mathoura NSW 2710",,,Coach,,
"Matong Coach Stop",26522,-34.767801,146.918673,10150290,,"Matong St opp Farmers Home Hotel, Matong NSW 2652",,,Coach,,
"McMahons Point Wharf",20601,-33.84865057,151.2062986,10102015,,"Henry Lawson Ave, McMahons Point NSW 2060","Emergency help point | Opal card top up machine","Hearing loop | This location is wheelchair accessible | PA system for announcements","Bus, Ferry",,
"Meadow Flat Coach Stop",279513,-33.434702,149.92069,10135854,,"Great Western Hwy before Sunny Corner Rd, Meadow Flat NSW 2795",,,Coach,,
"Meadowbank Station",211430,-33.81623815,151.0900609,10101202,"02 9752 8460","Constitution Rd, Meadowbank NSW 2114","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Ferry, Taxi",7-9am,4-6.30pm
"Meadowbank Wharf",21141,-33.82114791,151.0898782,10102028,,"Bowden St, Meadowbank NSW 2114","Bike lockers | Commuter car park | Emergency help point | Kiss and ride stopping area | Opal card top up or single trip ticket machine | Toilets","This location is wheelchair accessible | Hearing loop | PA system for announcements","Train, Ferry",,
"Medlow Bath Station",278030,-33.67387612,150.2807859,10101269,"02 4782 1902","Great Western Hwy, Medlow Bath NSW 2780","Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Level crossing | Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars",Train,6-7.30am,4-6.30pm
"Melbourne (Southern Cross) Station",9999999,-37.818426,144.952472,10155010,,"Spencer St, Docklands VIC 3008",,,"Regional train",,
"Menangle Park Station",256310,-34.1037012,150.7449558,10101298,"02 4677 1402","Racecourse Dr, Menangle Park NSW 2563","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars",Train,6-8am,4-6.30pm
"Menangle Station",256810,-34.12520137,150.7444307,10101299,"02 4677 1402","Station St, Menangle NSW 2568","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars",Train,6-8am,4-6.30pm
"Mendooran Coach Stop",28421,-31.823036,149.122301,10150055,,"Bandulla St at Brambil St, Mendooran NSW 2842",,,Coach,,
"Menindee Station",28791,-32.389345,142.424697,10155001,"13 22 32","Maiden St, Menindee NSW 2879",,"Stairs | This location is not wheelchair accessible",Train,,
"Merimbula Coach Stop",25481,-36.888775,149.908959,10150110,,"Park St at Wonga St, Merimbula NSW 2548",,,Coach,,
"Merrylands Station",216010,-33.8363502,150.9928633,10101282,"02 9848 9239","Railway Tce, Merrylands NSW 2160","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Metford Station",232310,-32.76487575,151.6178682,10101174,"02 4933 7902","McCubbin Cl, Metford NSW 2323","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus",6-7am,4-6.30pm
"Michelago Coach Stop",26203,-35.70383,149.158302,10150257,,"Monaro Hwy after Ryrie St, Michelago NSW 2620",,,Coach,,
"Mildura Airport Coach Stop",3500211,-34.23092,142.084174,10156482,,"Alan Mathews Dr, Mildura VIC 3500",,,"Regional coach",,
"Mildura Base Hospital Coach Stop",3500143,-34.183476,142.144556,10156383,,"Ontario Ave, Mildura VIC 3500",,,"Regional coach",,
"Mildura Central Coach Stop",350046,-34.205752,142.137985,10156742,,"Deakin Ave, Mildura VIC 3500",,,"Regional coach",,
"Mildura Station",35001,-34.182081,142.163229,10150151,,"Seventh St, Mildura VIC 3500",,,"Coach, Bus",,
"Millthorpe Station",279821,-33.448714,149.182802,10155067,,"Station Pl, Millthorpe NSW 2798","Commuter car park | Toilets | Wheelchair accessible car space | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Ramp gradient | Tactile surfaces | Short platforms, leave the train from the middle doors","Regional train",,
"Millthorpe Town Coach Stop",27981,-33.445663,149.185235,10150268,,"Millthorpe Public School, Park St, Millthorpe NSW 2798",,,"Coach, Regional coach",,
"Milsons Point Station",206110,-33.84589277,151.211825,10101111,"02 9379 4024","Alfred St, Milsons Point NSW 2061","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Ferry, Taxi",7-9am,4-6.30pm
"Milsons Point Wharf",20611,-33.84939899,151.2106384,10102017,,"Alfred St S, Milsons Point NSW 2061","Bike racks | Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Ferry, Taxi",,
"Mindaribba Station",232050,-32.66932312,151.5843137,10101180,"02 4932 8409","Tocal Rd, Mindaribba NSW 2320","Emergency help point | No Opal card top up or single trip ticket sales","This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the middle doors",Train,"No peak",4-6.30pm
"Minnamurra Station",253310,-34.62569976,150.8522575,10101384,"02 4223 5613","North St, Minnamurra NSW 2533","Bike lockers | Bike racks | Emergency help point | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Tactile surfaces | PA system for announcements","Train, Bus",6-8am,4-6.30pm
"Minto Station",256610,-34.02714972,150.8425967,10101294,"02 4629 0842","Somerset St, Minto NSW 2566","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Miranda Station",222810,-34.03635478,151.1028535,10101348,"02 9522 1295","Kiora Rd, Miranda NSW 2228","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Mittagong Station",257510,-34.45270638,150.4476899,10101305,"02 4871 1935","Regents St, Mittagong NSW 2575","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus",6-8am,4-6.30pm
"Moama Coach Stop",27311,-36.114325,144.756149,10150289,,"Moama Information Centre, Blair St, Moama NSW 2731",,,Coach,,
"Molong Coach Stop",28661,-33.092607,148.871452,10150112,,"Hill St, Molong NSW 2866",,,Coach,,
"Mona Vale B-Line",210318,-33.677752,151.304356,10115781,,"Barrenjoey Rd, Mona Vale NSW 2103","Bike racks | Commuter car park | Wheelchair accessible car space | Departure indicator screen","This location is wheelchair accessible | Tactile surfaces","Bus, Taxi",,
"Mooball Coach Stop",248323,-28.441619,153.491795,10150086,,"Mooball Coach Stop, Tweed Valley Way, Mooball NSW 2483",,,Coach,,
"Moonbi Coach Stop",23532,-31.021885,151.06988,10156769,,"New England Hwy at George St, Moonbi NSW 2353",,,Coach,,
"Moree Station",24001,-29.473849,149.848164,10155051,"13 22 32","Gosport St, Moree NSW 2400","Commuter car park | Toilets | Wheelchair accessible car space | Baby change table | Taxi rank","This location is wheelchair accessible | Level crossing | Wheelchair ramp boarding assistance | Tactile surfaces | PA system for announcements","Train, Coach, Taxi",,
"Moree Town Coach Stop",24003,-29.461275,149.840305,10150225,,"Balo Square, Auburn St, Moree NSW 2400",,,"Coach, Bus",,
"Morisset Station",226410,-33.10924629,151.4877339,10101148,"02 4349 9241","Dora St, Morisset NSW 2264","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus, Taxi",6-8am,4-6.30pm
"Mortdale Station",222310,-33.97058667,151.0812881,10101341,"02 9563 7585","Cnr Morts Rd & Pitt St, Mortdale NSW 2223","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Mosman Bay Wharf",20881,-33.83847631,151.2323381,10102020,,"Avenue Rd, Mosman NSW 2088","Bike racks | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Wheelchair accessible car space","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Bus, Ferry",,
"Moss Vale Station",257710,-34.54795977,150.3719897,10101308,"02 4868 1115","Bay St, Moss Vale NSW 2577","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Regional coach, Taxi",6-8am,4-6.30pm
"Mount Colah Station",207910,-33.67202205,151.1144926,10101129,"02 9847 8476","Pacific Hwy, Mount Colah NSW 2079","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus",7-9am,4-6.30pm
"Mount Druitt Station",277010,-33.76954233,150.8197988,10101248,"02 9851 7501","North Pde, Mount Druitt NSW 2770","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Escalator | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Mount George turnoff Coach Stop",24296,-31.897769,152.314858,10150067,,"Gloucester Rd opp Nowendoc Rd, Killawarra NSW 2429",,,Coach,,
"Mount Kuring-gai Station",208010,-33.65300164,151.1368223,10101130,"02 9847 8497","Pacific Hwy, Mount Kuring-Gai NSW 2080","Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Taxi rank","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi",7-9am,4-6.30pm
"Mount Lambie Coach Stop",279084,-33.454095,149.987554,10120423,,"Great Western Hwy opp Old Western Rd, Mount Lambie NSW 2790",,,Coach,,
"Mount Russell turnoff Coach Stop",23601,-29.72633,150.937034,10150191,,"Gwydir Hwy opp Mt Russell Rd, Little Plain NSW 2360",,,Coach,,
"Mount Victoria Station",278610,-33.5881116,150.2569734,10101271,"02 4787 1227","Station St, Mount Victoria NSW 2786","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Taxi rank","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Regional coach, Bus, Taxi",6-7.15am,4-6.30pm
"Mudgee Station",28504,-32.601146,149.587392,10150082,,"Inglis St, Mudgee NSW 2850",,,Coach,,
"Mudgee Town Coach Stop",28505,-32.590463,149.585036,10150081,,"Mudgee Visitor Information Centre, Market St, Mudgee NSW 2850",,,Coach,,
"Mulgrave Station",275610,-33.62668367,150.830637,10101241,"02 9851 7275","Mulgrave Rd, Mulgrave NSW 2756","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table","Level crossing | Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements",Train,7-9am,4-6.30pm
"Mullaley Coach Stop",237913,-31.097917,149.910359,10150106,,"Mullaley Park, Nombi St, Mullaley NSW 2379",,,Coach,,
"Mullumbimby Station",24821,-28.554009,153.503098,10150241,,"Prince St, Mullumbimby NSW 2482",,,Coach,,
"Mulwala Coach Stop",26471,-35.989306,146.005061,10150084,,"Inglis St at Melbourne St, Mulwala NSW 2647",,,Coach,,
"Murrumbateman Coach Stop (northbound)",25822,-34.968544,149.030382,10150128,,"Murrumbateman Country Inn, Barton Hwy, Murrumbateman NSW 2582",,,Coach,,
"Murrumbateman Coach Stop (southbound)",25823,-34.969187,149.030613,10150126,,"Jones Park, Barton Hwy, Murrumbateman NSW 2582",,,Coach,,
"Murrurundi Station",23381,-31.768429,150.839451,10155005,"13 22 32","Victoria St, Murrurundi NSW 2338","Commuter car park | Emergency help point | Toilets | Wheelchair accessible car space","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements",Train,,
"Murrurundi Town Coach Stop",233813,-31.763464,150.83416,10150109,,"Murrurundi Visitor Information Centre, Mayne St, Murrurundi NSW 2338",,,Coach,,
"Murwillumbah Station",24841,-28.329887,153.402432,10150012,,"Tweed Valley Way, Murwillumbah NSW 2484",,,Coach,,
"Museum Station",200040,-33.87569985,151.2101064,10101104,"02 9379 1396","Elizabeth St, Sydney NSW 2000","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK) | Taxi rank","This location is wheelchair accessible | Escalator | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Muswellbrook Station",233310,-32.26749261,150.8903202,10101191,"02 4962 9155","Market St, Muswellbrook NSW 2333","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","This location is wheelchair accessible | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Coach","No peak",4-6.30pm
"Muttama Coach Stop",27221,-34.803942,148.117531,10150258,,"Muttama Rd before Bridge St, Muttama NSW 2722",,,Coach,,
"Nambucca Heads Plaza Coach Stop",244833,-30.654536,152.988757,10158056,,"Nambucca Heads Plaza, Giinagay Way, Nambucca Heads NSW 2448",,,"Regional coach",,
"Nambucca Heads Station",24481,-30.629129,152.977472,10155058,"13 22 32","Railway Pde, Nambucca Heads NSW 2448","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach, Taxi",,
"Nambucca Heads Town Coach Stop",244826,-30.642027,153.002309,10155757,,"Nambucca Heads Police Station, Bowra St, Nambucca Heads NSW 2448",,,"Regional coach, Bus",,
"Narara Station",2250772,-33.39478578,151.3443079,10101140,"02 4352 1450","Narara Valley Dr, Narara NSW 2250","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus",6-8am,4-6.30pm
"Narrabeen B-Line",210125,-33.713467,151.297416,10119205,,"Pittwater Rd, Narrabeen NSW 2101","Bike racks | Commuter car park | Toilets | Wheelchair accessible toilet | Wheelchair accessible car space | Departure indicator screen","This location is wheelchair accessible | Tactile surfaces","Bus, Taxi",,
"Narrabri Station",23901,-30.325322,149.79202,10155044,"13 22 32","Bowen St, Narrabri NSW 2390","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Regional coach, Taxi",,
"Narrandera Station",27001,-34.740516,146.556999,10155024,"13 22 32","Whitton St, Narrandera NSW 2700",Toilets,"Wheelchair ramp boarding assistance | Stairs | This location is not wheelchair accessible","Train, Coach",,
"Narromine Coach Stop",28211,-32.234112,148.240167,10150202,,"Derribong St, Narromine NSW 2821",,,Coach,,
"Narwee Station",220920,-33.94751814,151.0697482,10101414,"02 9563 7770","Hannans Rd, Narwee NSW 2209","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank | Wheelchair accessible payphone | Wheelchair accessible car space","Stairs | This location is wheelchair accessible | PA system for announcements | Tactile surfaces","Train, Bus, Taxi",7-9am,4-6.30pm
"Nerong Coach Stop",24233,-32.511459,152.211271,10150231,,"Whimbrel Dr, Nerong NSW 2423",,,Coach,,
"Neutral Bay Junction",208914,-33.831653,151.22274,10114972,,"Military Rd, Neutral Bay NSW 2089","Bike racks | Departure indicator screen","This location is wheelchair accessible | Tactile surfaces",Bus,,
"Neutral Bay Wharf",20891,-33.84231965,151.2193125,10102023,,"Hayes St, Neutral Bay NSW 2089","Emergency help point | Opal card top up or single trip ticket machine | Wheelchair accessible car space","This location is wheelchair accessible | Hearing loop | Stairs | PA system for announcements","Bus, Ferry",,
"Nevertire Coach Stop",28261,-31.8375,147.717,10150271,,"Mitchell Hwy after Clyde St, Nevertire NSW 2826",,,Coach,,
"Newcastle Beach Light Rail",2300136,-32.927465,151.786195,10101505,,"Scott St, Newcastle NSW 2300","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Tactile surfaces | Level crossing | PA system for announcements | Hearing loop","Light rail",,
"Newcastle Interchange",229310,-32.924308,151.75965,10101165,,"Station Street, Wickham NSW 2293","Bike racks | Bike shed | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up machine | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Stairs | Tactile surfaces | PA system for announcements | Wheelchair ramp boarding assistance","Train, Bus, Light rail, Taxi",6-7.15am,4-6.30pm
"Newtown Station",204210,-33.89788301,151.1799247,10101214,"02 9379 1790","King St, Newtown NSW 2042","Bike racks | Emergency help point | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK)","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus",7-9am,4-6.30pm
