id,name,street,suburb,postcode,type,suburb_id
10751,Our Lady of the Assumption Catholic Primary School,1a Hamilton Street East,North Strathfield,2137,private,10469
10752,Strathfield South Public School,457 Liverpool Road,Strathfield,2135,public,10600
10753,Chalmers Road School,Chalmers Rd,Strathfield,2135,public,10600
10754,Marie Bashir Public School,159 Albert Road,Strathfield,2135,public,10600
10755,Strathfield Girls High School,Albert Rd,Strathfield,2135,public,10600
10756,Meriden School,12 Redmyre Road,Strathfield,2135,private,10600
10757,St Martha's Catholic Primary School,88 Churchill Avenue,Strathfield,2135,private,10600
10758,St Patrick's College,Edgar Street,Strathfield,2135,private,10600
10759,Santa Sabina College,90 The Boulevarde,Strathfield,2135,private,10600
10760,Australian International Academy  Sydney  Strathfield Campus,416-420 Liverpool Road,Strathfield,2135,private,10600
10761,Meriden School,36 Redmyre Rd,Strathfield,2135,private,10600
10762,Trinity Grammar School,125 The Boulevarde,Strathfield,2135,private,10600
10763,Santa Sabina College,59/63 The Boulevarde,Strathfield,2135,private,10600
10764,Summer Hill Public School,Moonbie St,Summer Hill,2130,public,10602
10765,St Patrick's Catholic Primary School,9 Drynan St,Summer Hill,2130,private,10602
10766,Trinity Grammar School,Prospect Road,Summer Hill,2130,private,10602
10767,Sutherland Public School,38-54 Eton Street,Sutherland,2232,public,10604
10768,Sutherland North Public School,Auburn St,Sutherland,2232,public,10604
10769,Minerva School,Eton St,Sutherland,2232,public,10604
10770,St Patrick's Catholic Primary School,Belmont Street,Sutherland,2232,private,10604
10771,St Patrick's College,551 President Avenue,Sutherland,2232,private,10604
10772,Sylvania Public School,Princes Hwy,Sylvania,2224,public,10608
10773,Sylvania Heights Public School,Lisbon Street,Sylvania,2224,public,10608
10774,Sylvania High School,17-23 Bellingara Road,Sylvania,2224,public,10608
10775,Taren Point Public School,93 Woodlands Rd,Taren Point,2229,public,10611
10776,Terrey Hills Public School,Cooyong Rd,Terrey Hills,2084,public,10616
10777,Kinma School,127 Coolowie Road,Terrey Hills,2084,private,10616
10778,Sydney Japanese School,112 Booralie Road,Terrey Hills,2084,private,10616
10779,Northern Beaches Christian School,Echunga Road,Terrey Hills,2084,private,10616
10780,German International School Sydney,33 Myoora Road,Terrey Hills,2084,private,10616
10781,Toongabbie Public School,Fitzwilliam Rd,Toongabbie,2146,public,10621
10782,Toongabbie West Public School,Ballandella Rd,Toongabbie,2146,public,10621
10783,Metella Road Public School,Metella Rd,Toongabbie,2146,public,10621
10784,Toongabbie Christian School Ltd,40 Metella Road,Toongabbie,2146,private,10621
10785,Turramurra North Public School,237 Bobbin Head Rd,North Turramurra,2074,public,10471
10786,Gibberagong Environmental Education Centre,Bobbin Head Picnic Area,North Turramurra,2074,public,10471
10787,Ku-ring-gai High School,Bobbin Head Rd,North Turramurra,2074,public,10471
10788,Ultimo Public School,Quarry St,Ultimo,2007,public,10625
10789,International Grammar School,4-8 Kelly Street,Ultimo,2007,private,10625
10790,Vaucluse Public School,Cambridge Ave,Vaucluse,2030,public,10627
10791,Carramar Public School,The Horsley Drive,Carramar,2163,public,10119
10792,Vineyard Public School,4 Bandon Rd,Vineyard,2765,public,10629
10793,Waitara Public School,64-68 Edgeworth David Avenue,Wahroonga,2076,public,10631
10794,Wahroonga Public School,71 Burns Rd,Wahroonga,2076,public,10631
10795,Abbotsleigh,1666 Pacific Highway,Wahroonga,2076,private,10631
10796,Knox Grammar School,Pacific Highway,Wahroonga,2076,private,10631
10797,Prouille Catholic Primary School,5 Water Street,Wahroonga,2076,private,10631
10798,St Leo's Catholic College,16 Woolcott Ave,Wahroonga,2076,private,10631
10799,St Edmund's School,60 Burns Road,Wahroonga,2076,private,10631
10800,St Lucy's School,21 Cleveland Street,Wahroonga,2076,private,10631
10801,Knox Grammar School,Billyard Avenue,Wahroonga,2076,private,10631
10802,Wahroonga Adventist School,181 Fox Valley Road,Wahroonga,2076,private,10631
10803,Knox Grammar School,61 Coonabarra Street,Wahroonga,2076,private,10631
10804,Wallacia Public School,1573-1585 Mulgoa Rd,Wallacia,2745,public,10634
10805,Warrawee Public School,1486 Pacific Highway,Turramurra,2074,public,10623
10806,Turramurra Public School,Kissing Point Rd,Turramurra,2074,public,10623
10807,Waterfall Public School,McKell Ave,Waterfall,2233,public,10639
10808,Wentworthville Public School,70-100 Fullagar Road,Wentworthville,2145,public,10647
10809,Pendle Hill Public School,27-29 Pendle Way,Wentworthville,2145,public,10647
10810,Darcy Road Public School,98A Darcy Road,Wentworthville,2145,public,10647
10811,Pendle Hill High School,Knox St,Wentworthville,2145,public,10647
10812,Our Lady of Mount Carmel Primary School,Bennett Street,Wentworthville,2145,private,10647
10813,Wilberforce Public School,Macquarie Rd,Wilberforce,2756,public,10663
10814,Willoughby Public School,30-34 Oakville Road,Willoughby,2068,public,10666
10815,Willoughby Girls High School,Mowbray Rd,Willoughby,2068,public,10666
10816,St Thomas' Catholic Primary School,2 Horsley Avenue,Willoughby,2068,private,10666
10817,Athelstane Public School,Athelstane Ave,Arncliffe,2205,public,10013
10818,Arncliffe West Infants School,Loftus St,Arncliffe,2205,public,10013
10819,Arncliffe Public School,Princes Hwy,Arncliffe,2205,public,10013
10820,St Francis Xavier's Catholic Primary School,Forest Road,Arncliffe,2205,private,10013
10821,Al Zahra College,3-5 Wollongong Road,Arncliffe,2205,private,10013
10822,Kingdom Culture Christian School,19 Dowling Street,Arncliffe,2205,private,10013
10823,Windsor Public School,Dight St,Windsor,2756,public,10668
10824,St Matthew's Primary School,Tebbutt Street,Windsor,2756,private,10668
10825,Wisemans Ferry Public School,Old Northern Rd,Wisemans Ferry,2775,public,10671
10826,Oyster Bay Public School,Short St,Oyster Bay,2225,public,10488
10827,Kemps Creek Public School,100 Cross Street,Kemps Creek,2178,public,10328
10828,Emmaus Catholic College,87-109 Bakers Lane,Kemps Creek,2178,private,10328
10829,Trinity Catholic Primary School,61-83 Bakers Lane,Kemps Creek,2178,private,10328
10830,Christadelphian Heritage College Sydney Inc,110 Cross Street,Kemps Creek,2178,private,10328
10831,Warwick Farm Public School,Lawrence Hargrave Rd,Warwick Farm,2170,public,10638
10832,Lawrence Hargrave School,Station St,Warwick Farm,2170,public,10638
10833,Chester Hill Public School,Proctor Pde,Chester Hill,2162,public,10137
10834,Chester Hill North Public School,Campbell Hill Rd,Chester Hill,2162,public,10137
10835,Rowland Hassall School,18B Parkham Street,Chester Hill,2162,public,10137
10836,Chester Hill High School,Kenward Ave,Chester Hill,2162,public,10137
10837,Salamah College,40 Hector Street,Chester Hill,2162,private,10137
10838,Georges Hall Public School,Pennington Ave,Georges Hall,2198,public,10255
10839,St Mary's Catholic Primary School,Rex Road,Georges Hall,2198,private,10255
10840,Hopepoint Christian School,39 Ashcroft Street,Georges Hall,2198,private,10255
10841,Georges River Grammar,53 Georges Crescent,Georges Hall,2198,private,10255
10842,South Coogee Public School,Moverly Rd,South Coogee,2034,public,10580
10843,Annangrove Public School,Annangrove Rd,Annangrove,2156,public,10011
10844,Woronora River Public School,Prices Circuit,Woronora,2232,public,10681
10845,Riverwood Public School,Union St,Riverwood,2210,public,10540
10846,Hannans Road Public School,Hannans Rd,Riverwood,2210,public,10540
10847,St Joseph's Catholic Primary School,28-32 Thurlow St,Riverwood,2210,private,10540
10848,Southside Montessori School,35 Lilian Road,Riverwood,2210,private,10540
10849,Belrose Public School,Ralston Ave,Belrose,2085,public,10049
10850,Wakehurst Public School,Glen St,Belrose,2085,public,10049
10851,Kamaroi Rudolf Steiner School,220 Forest Way,Belrose,2085,private,10049
10852,Covenant Christian School,212 Forest Way,Belrose,2085,private,10049
10853,Yanginanook School,Bundaleer Street,Belrose,2085,private,10049
10854,John Colet School,6 Wyatt Avenue,Belrose,2085,private,10049
10855,Bundeena Public School,48R Scarborough St,Bundeena,2230,public,10090
10856,Pymble Public School,Crown Road,Pymble,2073,public,10521
10857,Gordon West Public School,146 Ryde Road,Pymble,2073,public,10521
10858,Sacred Heart Catholic School,4 Richard Porter Way,Pymble,2073,private,10521
10859,Pymble Ladies' College,Avon Road,Pymble,2073,private,10521
10860,Northside Montessori School,42 Bobbin Head Road,Pymble,2073,private,10521
10861,Condell Park Public School,Augusta St,Condell Park,2200,public,10161
10862,Condell Park High School,Third Ave,Condell Park,2200,public,10161
10863,Condell Park Christian School,29 Lancelot Street,Condell Park,2200,private,10161
10864,Avalon Public School,Old Barrenjoey Rd,Avalon Beach,2107,public,10022
10865,Maria Regina Catholic Primary School,42 Central Road,Avalon Beach,2107,private,10022
10866,Lugarno Public School,Old Forest Rd,Lugarno,2210,public,10388
10867,Narraweena Public School,McIntosh Rd,Narraweena,2099,public,10448
10868,St John The Apostle Catholic Primary School,166 Alfred Street,Narraweena,2099,private,10448
10869,Karuna Montessori School,48-50 Parr Parade,Narraweena,2099,private,10448
10870,Jannali Public School,107-121 Sutherland Road,Jannali,2226,public,10321
10871,Jannali East Public School,Box Rd,Jannali,2226,public,10321
10872,The Jannali High School,Sutherland Rd,Jannali,2226,public,10321
10873,Ramsgate Public School,Chuter Ave,Ramsgate,2217,public,10527
10874,Denistone East Public School,Lovell Rd,Eastwood,2122,public,10216
10875,Eastwood Heights Public School,Lincoln St,Eastwood,2122,public,10216
10876,Kent Road Public School,Kent & Herring Rds,Eastwood,2122,public,10216
10877,Eastwood Public School,Rowe St,Eastwood,2122,public,10216
10878,Epping Boys High School,213 Vimiera Rd,Eastwood,2122,public,10216
10879,Marist College,44 Hillview Road,Eastwood,2122,private,10216
10880,St Kevin's Catholic Primary School,28 Hillview Road,Eastwood,2122,private,10216
10881,Yagoona Public School,425 Hume Hwy,Yagoona,2199,public,10683
10882,Christ The King Catholic School Bass Hill,2 Cantrell Street,Yagoona,2199,private,10683
10883,Al Sadiq College,178 Cooper Road,Yagoona,2199,private,10683
10884,Wattle Grove Public School,Cressbrook Drive,Wattle Grove,2173,public,10642
10885,St Mark's Coptic Orthodox College,52 Australis Avenue,Wattle Grove,2173,private,10642
10886,Narwee Public School,Broadarrow Rd,Narwee,2209,public,10449
10887,Westmead Public School,Hawkesbury Rd,Westmead,2145,public,10658
10888,Redbank School,Dragonfly Drive,Westmead,2145,public,10658
10889,Palm Avenue School,Dragonfly Drive,Westmead,2145,public,10658
10890,The Childrens Hospital School,Hawkesbury Rd & Hainsworth St,Westmead,2145,public,10658
10891,Catherine McAuley Westmead,Darcy Road,Westmead,2145,private,10658
10892,Parramatta Marist High School,2 Darcy Road,Westmead,2145,private,10658
10893,Sacred Heart Primary School,12 Ralph Street,Westmead,2145,private,10658
10894,Westmead Christian Grammar School,2-14 Bridge Road,Westmead,2145,private,10658
10895,Mother Teresa Primary School,2a Darcy Road,Westmead,2145,private,10658
10896,Mount Colah Public School,Telopea St,Mount Colah,2079,public,10437
10897,McCallums Hill Public School,35-51 McCallum Street,Roselands,2196,public,10549
10898,Narrabeen North Public School,Namona St,North Narrabeen,2101,public,10462
10899,Narrabeen Sports High School,10 Namona St,North Narrabeen,2101,public,10462
10900,Grays Point Public School,109 Angle Rd,Grays Point,2232,public,10272
10901,Killara Public School,Ridgeland Ave,Killara,2071,public,10332
10902,Beaumont Road Public School,17 Beaumont Road,Killara,2071,public,10332
10903,Killara High School,Koola Ave,Killara,2071,public,10332
10904,Castle Cove Public School,Kendall Rd,Castle Cove,2069,public,10122
10905,Curl Curl North Public School,Playfair Rd,North Curl Curl,2099,public,10458
10906,Northern Beaches Secondary College Manly Campus,138 Abbott Rd,North Curl Curl,2099,public,10458
10907,Crown Street Public School,356 Crown Street,Surry Hills,2010,public,10603
10908,Sydney Distance Education Primary School,1 Collins Street,Surry Hills,2010,public,10603
10909,Bourke Street Public School,590 Bourke St,Surry Hills,2010,public,10603
10910,Sydney Girls High School,Moore Park,Surry Hills,2010,public,10603
10911,Aim Senior Secondary Music College,17-51 Foveaux Street,Surry Hills,2010,private,10603
10912,Tempe Public School,Unwins Bridge Rd,Tempe,2044,public,10613
10913,Tempe High School,Unwins Bridge Rd,Tempe,2044,public,10613
10914,Manly Village Public School,Darley Rd,Manly,2095,public,10395
10915,Royal Far West School,22 Wentworth St,Manly,2095,public,10395
10916,St Paul's Catholic College,Darley Road,Manly,2095,private,10395
10917,St Mary's Catholic Primary School,Whistler St,Manly,2095,private,10395
10918,Stella Maris College,52 Eurobin Avenue,Manly,2095,private,10395
10919,Farmhouse Montessori School,Building 6 North Head Scenic Drive  North Head Sanctuary,Manly,2095,private,10395
10920,Marrickville West Public School,Livingstone Rd,Marrickville,2204,public,10401
10921,Marrickville Public School,Chapel St,Marrickville,2204,public,10401
10922,Wilkins Public School,Park Rd,Marrickville,2204,public,10401
10923,Ferncourt Public School,Premier St,Marrickville,2204,public,10401
10924,Marrickville High School,Northcote St,Marrickville,2204,public,10401
10925,St Brigid's Catholic Primary School,392A Marrickville Road,Marrickville,2204,private,10401
10926,Casimir Catholic College,200 Livingstone Road,Marrickville,2204,private,10401
10927,The Waranara Centre,434 Marrickville Rd,Marrickville,2204,private,10401
10928,Aspect South East Sydney School,116 Chapel Road,Marrickville,2204,private,10401
10929,The Waranara Centre,2 South Street,Marrickville,2204,private,10401
10930,Collaroy Plateau Public School,Plateau Rd,Collaroy Plateau,2097,public,10156
10931,Wheeler Heights Public School,Veterans Pde,Collaroy Plateau,2097,public,10156
10932,St Rose Catholic Primary School,8 Rose Avenue,Collaroy Plateau,2097,private,10156
10933,Beacon Hill Public School,Tristram Rd,Beacon Hill,2100,public,10041
10934,Villawood East Public School,Lowana St,Villawood,2163,public,10628
10935,Sacred Heart Catholic Primary School,122 Carawatha Street,Villawood,2163,private,10628
10936,Canley Heights Public School,Cambridge St,Canley Heights,2166,public,10110
10937,Balgowlah North Public School,10 Manning Street,North Balgowlah,2093,public,10456
10938,Farmhouse Montessori School,9 Bardoo Avenue,North Balgowlah,2093,private,10456
10939,Gordon East Public School,Rosedale Rd,Gordon,2072,public,10269
10940,Ravenswood School for Girls,Henry Street,Gordon,2072,private,10269
10941,Yennora Public School,Ellis Pde,Yennora,2161,public,10686
10942,Richmond Public School,Windsor St,Richmond,2753,public,10536
10943,Richmond High School,Lennox St,Richmond,2753,public,10536
10944,St Monica's Primary School,32 Francis Rd,Richmond,2753,private,10536
10945,Guildford West Public School,Palmer St,Guildford West,2161,public,10285
10946,Forestville Public School,7 Melwood Ave,Forestville,2087,public,10250
10947,Our Lady of Good Counsel Catholic Primary School,11 Currie Road,Forestville,2087,private,10250
10948,Forestville Montessori School,1 Angel Place,Forestville,2087,private,10250
10949,Aspect Vern Barnett School,41 Cook Street,Forestville,2087,private,10250
10950,Manly Vale Public School,Sunshine St,Manly Vale,2093,public,10396
10951,Northern Beaches Secondary College Mackellar Girls Campus,Campbell Pde & Quirk Rd,Manly Vale,2093,public,10396
10952,St Kieran's Catholic Primary School,63 Gordon Street,Manly Vale,2093,private,10396
10953,Dundas Public School,85 Kissing Point Road,Dundas,2117,public,10202
10954,St Patrick's Marist College,151 Kirby Street,Dundas,2117,private,10202
10955,Mount Kuring-gai Public School,Leeming St,Mount Kuring-Gai,2080,public,10439
10956,Rooty Hill Public School,Westminster St,Rooty Hill,2766,public,10544
10957,Rooty Hill High School,54 North Parade,Rooty Hill,2766,public,10544
10958,St Aidan's Primary School,1-5 Adelaide Street,Rooty Hill,2766,private,10544
10959,St Agnes Catholic High School,Evans Road,Rooty Hill,2766,private,10544
10960,Birrong Public School,132 Auburn Rd,Birrong,2143,public,10066
10961,Birrong Boys High School,Rodd St,Birrong,2143,public,10066
10962,Birrong Girls High School,Cooper Rd,Birrong,2143,public,10066
10963,Leumeah Public School,Burrendong Rd,Leumeah,2560,public,10369
10964,Leumeah High School,Junction Rd,Leumeah,2560,public,10369
10965,Cambridge Park Public School,35 Oxford St,Cambridge Park,2747,public,10101
10966,Cambridge Gardens Public School,Trinity Drive,Cambridge Park,2747,public,10101
10967,Cambridge Park High School,Harrow Rd,Cambridge Park,2747,public,10101
10968,Blacktown North Public School,1 Bessemer St,Blacktown,2148,public,10068
10969,Blacktown West Public School,Lancaster St,Blacktown,2148,public,10068
10970,Marayong Public School,Davis Rd,Blacktown,2148,public,10068
10971,Blacktown South Public School,183 Flushcombe Rd,Blacktown,2148,public,10068
10972,Lynwood Park Public School,87 Turner Street,Blacktown,2148,public,10068
10973,Walters Road Public School,158 Walters Rd,Blacktown,2148,public,10068
10974,Marayong South Public School,McClean St,Blacktown,2148,public,10068
10975,Shelley Public School,Hadrian Ave,Blacktown,2148,public,10068
10976,Coreen School,Hereward Hwy,Blacktown,2148,public,10068
10977,Blacktown Girls High School,Fifth Ave,Blacktown,2148,public,10068
10978,Blacktown Boys High School,Sunnyholt Rd & Fifth Ave,Blacktown,2148,public,10068
10979,Mitchell High School,Keyworth Drive,Blacktown,2148,public,10068
10980,Evans High School,166 Walters Road,Blacktown,2148,public,10068
10981,Patrician Brothers' College,100 Flushcombe Rd,Blacktown,2148,private,10068
10982,St Patrick's Primary School,51-59 Allawah Street,Blacktown,2148,private,10068
10983,Tyndale Christian School,58 Douglas Road,Blacktown,2148,private,10068
10984,Pete's Place,151 Reservoir Road,Blacktown,2148,private,10068
10985,Macquarie Fields Public School,Fields Rd,Macquarie Fields,2564,public,10390
10986,Curran Public School,Melaleuca Drive,Macquarie Fields,2564,public,10390
10987,Guise Public School,Eucalyptus Drive,Macquarie Fields,2564,public,10390
10988,James Meehan High School,Harold St,Macquarie Fields,2564,public,10390
10989,Macquarie Fields High School,2 Harold St,Macquarie Fields,2564,public,10390
10990,Macarthur Adventist College,12 Victoria Road,Macquarie Fields,2564,private,10390
10991,EDEN College,86 Parliament Road,Macquarie Fields,2564,private,10390
10992,Villawood North Public School,Bligh St,Fairfield East,2165,public,10241
10993,Verona School,135B Fairfield St,Fairfield East,2165,public,10241
10994,Windsor South Public School,77A Church Street,South Windsor,2756,public,10587
10995,Windsor Park Public School,156 Rifle Range Road,South Windsor,2756,public,10587
10996,Bede Polding College,Rifle Range Road,South Windsor,2756,private,10587
10997,Oatlands Public School,Belmore St East,Oatlands,2117,public,10480
10998,M.E.T. School,216 Pennant Hills Road,Oatlands,2117,private,10480
10999,Kirrawee Public School,Bath Rd,Kirrawee,2232,public,10341
11000,Kirrawee High School,21-29 Hunter St,Kirrawee,2232,public,10341
11001,Aspect South East Sydney School,2 Mikarie Place,Kirrawee,2232,private,10341
11002,Illawong Public School,Fowler Rd,Illawong,2234,public,10317
11003,Lilli Pilli Public School,Lilli Pilli Point Rd,Lilli Pilli,2229,public,10373
11004,Telopea Public School,Chestnut Avenue,Telopea,2117,public,10612
11005,Rydalmere East Public School,Spurway St,Ermington,2115,public,10235
11006,Ermington West Public School,Vignes St,Ermington,2115,public,10235
11007,Yowie Bay Public School,Wonga Rd,Yowie Bay,2228,public,10687
11008,Erskineville Public School,Swanson St,Erskineville,2043,public,10237
11009,St Mary's Catholic Primary School ,54 Swanson Street,Erskineville,2043,private,10237
11010,Castlereagh Public School,87-101 Post Office Rd,Castlereagh,2749,public,10125
11011,Penrith Lakes Environmental Education Centre,89-151 Old Castlereagh Road,Castlereagh,2749,public,10125
11012,The Lakes Christian College,206 East Wilchard Road,Castlereagh,2749,private,10125
11013,Yates Avenue Public School,Yates Ave,Dundas Valley,2117,public,10203
11014,St Bernadette's Primary School,Cox Crescent,Dundas Valley,2117,private,10203
11015,Liverpool West Public School,79-81 Hoxton Park Rd,Liverpool,2170,public,10378
11016,Marsden Road Public School,Marsden Rd,Liverpool,2170,public,10378
11017,Liverpool Hospital School,Elizabeth St,Liverpool,2170,public,10378
11018,Mainsbridge School,Flowerdale Rd,Liverpool,2170,public,10378
11019,Liverpool Public School,Railway Street,Liverpool,2170,public,10378
11020,Liverpool Girls High School,Forbes St,Liverpool,2170,public,10378
11021,Liverpool Boys High School,18 Forbes Street,Liverpool,2170,public,10378
11022,All Saints Catholic College,53 Bigge Street,Liverpool,2170,private,10378
11023,All Saints Catholic Primary School (Liverpool),George Street,Liverpool,2170,private,10378
11024,Al Amanah College,55 Speed Street,Liverpool,2170,private,10378
11025,Epping North Public School,Boundary Rd,North Epping,2121,public,10459
11026,Lalor Park Public School,Heffron Rd,Lalor Park,2147,public,10355
11027,St Bernadette's Primary School,18 Wheeler Street,Lalor Park,2147,private,10355
11028,Casula Public School,De Meyrick Ave,Casula,2170,public,10126
11029,Casula High School,Myall Rd,Casula,2170,public,10126
11030,All Saints Catholic Senior College,Leacocks Lane,Casula,2170,private,10126
11031,Elanora Heights Public School,43 Elanora Road,Elanora Heights,2101,public,10221
11032,Allambie Heights Public School,165 Allambie Road,Allambie Heights,2100,public,10007
11033,St Marys North Public School,24-40 Willow Road,North St Marys,2760,public,10468
11034,Chifley College Dunheved Campus,Maple Rd,North St Marys,2760,public,10468
11035,Quakers Hill East Public School,14 Chase Drive,Acacia Gardens,2763,public,10002
11036,Loftus Public School,Tenth Ave,Loftus,2232,public,10380
11037,Cook School,Rawson Ave,Loftus,2232,public,10380
11038,Cromer Public School,Carcoola Rd,Cromer,2099,public,10171
11039,Northern Beaches Secondary College Cromer Campus,South Creek Rd,Cromer,2099,public,10171
11040,Hornsby Heights Public School,Somerville Rd,Hornsby,2077,public,10306
11041,Hornsby North Public School,Ida St,Hornsby,2077,public,10306
11042,Hornsby South Public School,Clarke Rd,Hornsby,2077,public,10306
11043,Clarke Road School,48-58 Clarke Road,Hornsby,2077,public,10306
11044,Hornsby Girls High School,Edgeworth David Ave,Hornsby,2077,public,10306
11045,Barker College,91 Pacific Highway,Hornsby,2077,private,10306
11046,Normanhurst West Public School,Dartford Rd,Thornleigh,2120,public,10620
11047,Thornleigh West Public School,Giblett Ave,Thornleigh,2120,public,10620
11048,Marayong Heights Public School,Guerie St,Marayong,2148,public,10398
11049,St Andrew's Primary School,36 Breakfast Road,Marayong,2148,private,10398
11050,St Andrews College,116-132 Quakers Road,Marayong,2148,private,10398
11051,St Andrews College,50 Breakfast Road,Marayong,2148,private,10398
11052,West Pymble Public School,Apollo Ave,West Pymble,2073,public,10655
11053,Our Lady of Perpetual Succour Catholic Primary School,64 Kendall Street,West Pymble,2073,private,10655
11054,Bennett Road Public School,100-114 Bennett Rd,Colyton,2760,public,10157
11055,Holsworthy Public School,Infantry Pde,Holsworthy,2173,public,10302
11056,Holsworthy High School,Huon Cres,Holsworthy,2173,public,10302
11057,St Christopher's Catholic Primary School,205 Heathcote Rd,Holsworthy,2173,private,10302
11058,Aspect Macarthur School,Heathcote Road,Holsworthy,2173,private,10302
11059,Lurnea Public School,West & Reilly Sts,Lurnea,2170,public,10389
11060,Lurnea High School,2 Hillview Parade,Lurnea,2170,public,10389
11061,St Francis Xavier's Catholic Primary School,71 Webster Rd,Lurnea,2170,private,10389
11062,St Ives North Public School,87 Memorial Ave,St Ives,2075,public,10592
11063,St Ives Public School,Horace St,St Ives,2075,public,10592
11064,St Ives Park Public School,Woodbury & Acron Rds,St Ives,2075,public,10592
11065,Sir Eric Woodward Memorial School,Ayres & Acron Rds,St Ives,2075,public,10592
11066,St Ives High School,Yarrabung Rd,St Ives,2075,public,10592
11067,Brigidine College  St Ives,325 Mona Vale Road,St Ives,2075,private,10592
11068,Corpus Christi Catholic Primary School,17 Link Road,St Ives,2075,private,10592
11069,Sydney Grammar School  St Ives Preparatory School,11-21 Ayres Road,St Ives,2075,private,10592
11070,Masada College High School,9-15 Link Road,St Ives,2075,private,10592
11071,Roselea Public School,North Rocks Rd,Carlingford,2118,public,10116
11072,Carlingford West Public School,Felton Rd,Carlingford,2118,public,10116
11073,Murray Farm Public School,Tracey Ave,Carlingford,2118,public,10116
11074,Carlingford Public School,Rickard St,Carlingford,2118,public,10116
11075,James Ruse Agricultural High School,Felton Rd,Carlingford,2118,public,10116
11076,Carlingford High School,North Rocks Rd,Carlingford,2118,public,10116
11077,Cumberland High School,183 Pennant Hills Road,Carlingford,2118,public,10116
11078,St Gerard's Catholic Primary School,543 North Rocks Rd,Carlingford,2118,private,10116
11079,Bardia Public School,Macdonald Rd,Bardia,2565,public,10035
11080,Sadleir Public School,Insignia St,Sadleir,2168,public,10564
11081,St Therese Catholic Primary School,96 Cartwright Ave,Sadleir,2168,private,10564
11082,Peakhurst South Public School,45A Pindari Road,Peakhurst Heights,2210,public,10498
11083,Heckenberg Public School,Jindabyne St,Heckenberg,2168,public,10296
11084,Busby Public School,South Liverpool Rd,Busby,2168,public,10095
11085,Miller Public School,Miller Rd & Shropshire St,Miller,2168,public,10419
11086,Miller High School,60 Cabramatta Avenue,Miller,2168,public,10419
11087,Picnic Point Public School,Prince & Thomas Sts,Picnic Point,2213,public,10506
11088,Picnic Point High School,61 Kennedy Street,Picnic Point,2213,public,10506
11089,Ashcroft Public School,Sheriff St,Ashcroft,2168,public,10017
11090,Ashcroft High School,Maxwells Ave,Ashcroft,2168,public,10017
11091,Smithfield West Public School,Wetherill St,Wetherill Park,2164,public,10659
11092,William Stimson Public School,Lily St,Wetherill Park,2164,public,10659
11093,Aspect Western Sydney School,295 Victoria Street,Wetherill Park,2164,private,10659
11094,Bilgola Plateau Public School,Plateau Rd,Bilgola Plateau,2107,public,10064
11095,Cartwright Public School,Willan Drive,Cartwright,2168,public,10121
11096,Toongabbie East Public School,Harris Rd,Constitution Hill,2145,public,10163
11097,Lewisham Public School,The Boulevarde,Lewisham,2049,public,10370
11098,Christian Brothers High School,68 The Boulevarde,Lewisham,2049,private,10370
11099,The John Berne School,1 Thomas Street,Lewisham,2049,private,10370
11100,Eileen OConnor Catholic College,7 Thomas Street,Lewisham,2049,private,10370
11101,Baulkham Hills North Public School,2A Girralong Ave,Baulkham Hills,2153,public,10039
11102,Jasper Road Public School,Jasper Rd,Baulkham Hills,2153,public,10039
11103,Crestwood Public School,38 Peel Rd,Baulkham Hills,2153,public,10039
11104,Matthew Pearce Public School,Astoria Park Rd,Baulkham Hills,2153,public,10039
11105,Baulkham Hills High School,Windsor Rd,Baulkham Hills,2153,public,10039
11106,Model Farms High School,Gooden Drive,Baulkham Hills,2153,public,10039
11107,Crestwood High School,17 Chapel Lane,Baulkham Hills,2153,public,10039
11108,St Michael's School,3-5 Chapel Lane,Baulkham Hills,2153,private,10039
11109,Woodbury,Building 11  92 Seven Hills Road,Baulkham Hills,2153,private,10039
11110,Whalan Public School,Karangi Rd,Whalan,2770,public,10660
11111,Madang Avenue Public School,Mimika Avenue,Whalan,2770,public,10660
11112,Halinda School,Mimika Ave,Whalan,2770,public,10660
11113,Killarney Heights Public School,Tralee Ave,Killarney Heights,2087,public,10333
11114,Killarney Heights High School,Starkey St,Killarney Heights,2087,public,10333
11115,Gymea North Public School,Ruby Rd,Gymea,2227,public,10286
11116,Gymea Technology High School,Hotham Rd & Princes Hwy,Gymea,2227,public,10286
11117,St Catherine Labouré Catholic Primary School,123 Gymea Bay Road,Gymea,2227,private,10286
11118,Sydney Montessori School,99-107 Manchester Road,Gymea,2227,private,10286
11119,Tregear Public School,Wilkes Cres,Tregear,2770,public,10622
11120,Bradbury Public School,Jacaranda Ave,Bradbury,2560,public,10083
11121,Sherwood Hills Christian School,61 Jacaranda Avenue,Bradbury,2560,private,10083
11122,Lethbridge Park Public School,Copeland Rd,Lethbridge Park,2770,public,10368
11123,Winston Hills Public School,Hillcrest Rd,Winston Hills,2153,public,10670
11124,Winston Heights Public School,Buckley Rd,Winston Hills,2153,public,10670
11125,St Paul the Apostle Primary School,44 Buckleys Rd,Winston Hills,2153,private,10670
11126,Nuwarra Public School,McKay Ave,Moorebank,2170,public,10431
11127,Newbridge Heights Public School,Lewin & Magree Cres,Moorebank,2170,public,10431
11128,Moorebank High School,Bangalow Ave,Moorebank,2170,public,10431
11129,St Joseph's Catholic Primary School,35-45 Nuwarra Road,Moorebank,2170,private,10431
